"ID","CategoryID","SkillCostsID","DisplayName_Lang_enUS","DisplayName_Lang_koKR","DisplayName_Lang_frFR","DisplayName_Lang_deDE","DisplayName_Lang_zhCN","DisplayName_Lang_zhTW","DisplayName_Lang_esES","DisplayName_Lang_esMX","DisplayName_Lang_ruRU","DisplayName_Lang_Unk","DisplayName_Lang_ptBR","DisplayName_Lang_itIT","DisplayName_Lang_Unk2","DisplayName_Lang_Unk3","DisplayName_Lang_Unk4","DisplayName_Lang_Unk5","DisplayName_Lang_Mask","Description_Lang_enUS","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_zhCN","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_Unk","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk2","Description_Lang_Unk3","Description_Lang_Unk4","Description_Lang_Unk5","Description_Lang_Mask","SpellIconID","AlternateVerb_Lang_enUS","AlternateVerb_Lang_koKR","AlternateVerb_Lang_frFR","AlternateVerb_Lang_deDE","AlternateVerb_Lang_zhCN","AlternateVerb_Lang_zhTW","AlternateVerb_Lang_esES","AlternateVerb_Lang_esMX","AlternateVerb_Lang_ruRU","AlternateVerb_Lang_Unk","AlternateVerb_Lang_ptBR","AlternateVerb_Lang_itIT","AlternateVerb_Lang_Unk2","AlternateVerb_Lang_Unk3","AlternateVerb_Lang_Unk4","AlternateVerb_Lang_Unk5","AlternateVerb_Lang_Mask","CanLink"
"55","6","0","Two-Handed Swords","","","","双手剑","雙手劍","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"56","7","0","Holy","","","","神圣","神聖","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","70","","","","","","","","","","","","","","","","","16712172","0"
"78","7","0","Shadow Magic","","","","暗影魔法","暗影魔法","","","","","","","","","","","16712191","","","","","","","","","","","","","","","","","16712188","234","","","","","","","","","","","","","","","","","16712172","0"
"95","6","0","Defense","","","","防御","防禦","","","","","","","","","","","16712190","Higher defense improves your chance to dodge, parry, and block attacks, makes you harder to hit,  and makes monsters less likely to land a critical strike against you.","","","","防御越高，你躲闪、招架和格挡攻击的几率就越高，因此越难以被击中，怪物对你造成爆击的几率也越低。","防禦技能可提高你閃躲、招架和格擋攻擊的機率。防禦越高，你就越難以被擊中，怪物也越難對你造成致命一擊。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"98","10","0","Language: Common","","","","语言：通用语","語言:通用語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"101","9","0","Dwarven Racial","","","","矮人种族特长","矮人種族特長","","","","","","","","","","","16712191","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"109","10","0","Language: Orcish","","","","语言：兽人语","語言:獸人語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"111","10","0","Language: Dwarven","","","","语言：矮人语","語言:矮人語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"113","10","0","Language: Darnassian","","","","语言：达纳苏斯语","語言:達納蘇斯語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"115","10","0","Language: Taurahe","","","","语言：牛头人语","語言:牛頭人語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"118","6","0","Dual Wield","","","","双武器","雙武器","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"124","9","0","Tauren Racial","","","","牛头人种族特长","牛頭人種族特長","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"125","9","0","Orc Racial","","","","兽人种族特长","獸人種族特長","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"126","9","0","Night Elf Racial","","","","暗夜精灵种族特长","夜精靈種族特長","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"129","9","0","First Aid","","","","急救","急救","","","","","","","","","","","16712190","Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.","","","","高级的急救技能使你可以学习高级的急救能力。你可以在训练师那里学习新的能力，也可以通过完成任务或杀死怪物获得新的能力。","高級的急救技能使你可以學習高級的急救能力。你可以在訓練師那裡學習新的能力，也可以通過完成任務或殺死怪物獲得新的能力。","","","","","","","","","","","16712190","504","","","","","","","","","","","","","","","","","16712172","1"
"134","7","0","Feral Combat","","","","野性战斗","野性戰鬥","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","107","","","","","","","","","","","","","","","","","16712172","0"
"136","6","0","Staves","","","","法杖","法杖","","","","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"137","10","0","Language: Thalassian","","","","语言：萨拉斯语","語言:薩拉斯語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"138","10","0","Language: Draconic","","","","语言：龙语","語言:龍語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"139","10","0","Language: Demon Tongue","","","","语言：恶魔语","語言:惡魔語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"140","10","0","Language: Titan","","","","语言：泰坦语","語言:泰坦語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"141","10","0","Language: Old Tongue","","","","语言：古代语","語言:古代語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"142","9","0","Survival","","","","生存技能","生存技能","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"148","9","0","Horse Riding","","","","骑术：马","騎術:馬","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"149","9","0","Wolf Riding","","","","骑术：狼","騎術:狼","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"150","9","0","Tiger Riding","","","","骑术：豹","騎術:虎","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"152","9","0","Ram Riding","","","","骑术：羊","騎術:羊","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"155","9","0","Swimming","","","","游泳","游泳","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"160","6","0","Two-Handed Maces","","","","双手锤","雙手錘","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"162","6","0","Unarmed","","","","徒手战斗","徒手戰鬥","","","","","","","","","","","16712191","Higher skill increases your chance to hit.","","","","此技能等级越高，你击中目标的几率越高。","此技能等級越高，你擊中目標的機率越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"163","7","0","Marksmanship","","","","射击","射擊","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","126","","","","","","","","","","","","","","","","","16712172","0"
"164","11","0","Blacksmithing","","","","锻造","鍛造","","","","","","","","","","","16712190","Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.","","","","高级的锻造技能使你可以学习高级的锻造设计图。你可以在训练师那里学习新的设计图，也可以通过完成任务或杀死怪物获得新的设计图。","高級的鍛造技能使你可以學習高級的鍛造設計圖。你可以在訓練師那裡學習新的設計圖，也可以通過完成任務或殺死怪物獲得新的設計圖。","","","","","","","","","","","16712190","335","Modify","","","","修改","鎔鑄","","","","","","","","","","","16712190","1"
"165","11","0","Leatherworking","","","","制皮","製皮","","","","","","","","","","","16712190","Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.","","","","高级的制皮技能使你可以学习高级的制皮图样。你可以在训练师那里学习新的图样，也可以通过完成任务或杀死怪物获得新的图样。","高級的製皮技能使你可以學習高級的製皮圖樣。你可以在訓練師那裡學習新的圖樣，也可以通過完成任務或殺死怪物獲得新的圖樣。","","","","","","","","","","","16712190","346","Emboss","","","","雕饰","皮雕","","","","","","","","","","","16712190","1"
"171","11","0","Alchemy","","","","炼金术","鍊金術","","","","","","","","","","","16712190","Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.","","","","高级的炼金术技能使你可以学习高级的炼金术配方。你可以在训练师那里学习新的配方，也可以通过完成任务或杀死怪物获得新的配方。","高級的鍊金術技能使你可以學習高級的鍊金術配方。你可以在訓練師那裡學習新的配方，也可以通過完成任務或殺死怪物獲得新的配方。","","","","","","","","","","","16712190","339","Refill","","","","装填","灌注","","","","","","","","","","","16712190","1"
"172","6","0","Two-Handed Axes","","","","双手斧","雙手斧","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"173","6","0","Daggers","","","","匕首","匕首","","","","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"176","6","0","Thrown","","","","投掷武器","投擲武器","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"182","11","0","Herbalism","","","","草药学","草藥學","","","","","","","","","","","16712190","Higher herbalism skill allows you to harvest more difficult herbs around the world.  If you cannot harvest a specific herb, then increase your skill by harvesting easier to gather herbs in lower level areas.","","","","高级的草药学技能使你可以采集高级的草药。如果你不能采集某种草药，请先在较低等级的地区采集低等级草药，以此提高你的草药学技能。","高級的草藥學技能使你可以採集高級的草藥。如果你不能採集某種草藥，請先在較低等級的地區採集低等級草藥，以此提高你的草藥學技能。","","","","","","","","","","","16712190","345","","","","","","","","","","","","","","","","","16712172","0"
"183","12","0","GENERIC (DND)","","","","GENERIC (DND)","GENERIC (DND)","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"184","7","0","Retribution","","","","惩戒","懲戒","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","555","","","","","","","","","","","","","","","","","16712172","0"
"185","9","0","Cooking","","","","烹饪","烹飪","","","","","","","","","","","16712190","Higher cooking skill allows you to learn higher level cooking recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.","","","","高级的烹饪技能使你可以学习高级的菜谱。你可以在训练师那里学习新的菜谱，也可以通过完成任务或杀死怪物获得新的菜谱。","高級的烹飪技能使你可以學習高級的食譜。你可以在訓練師那裡學習新的食譜，也可以通過完成任務或殺死怪物獲得新的食譜。","","","","","","","","","","","16712190","1467","","","","","","","","","","","","","","","","","16712172","1"
"186","11","0","Mining","","","","采矿","採礦","","","","","","","","","","","16712190","Higher mining skill allows you to harvest more difficult minerals nodes around the world.  If you cannot harvest a specific mineral, then increase your skill by mining easier to mine minerals in lower level areas.","","","","高级的采矿技能使你可以采集高级的矿石。如果你不能采集某种矿石，请先在较低等级的地区采集低等级矿石，以此提高你的采矿技能。","高級的採礦技能使你可以採集高級的礦石。如果你不能採集某種礦石，請先在較低等級的地區採集低等級礦石，以此提高你的採礦技能。","","","","","","","","","","","16712190","2418","","","","","","","","","","","","","","","","","16712172","0"
"188","7","0","Pet - Imp","","","","宠物 - 小鬼","寵物 - 小鬼","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"189","7","0","Pet - Felhunter","","","","宠物 - 地狱猎犬","寵物 - 惡魔獵犬","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"197","11","0","Tailoring","","","","裁缝","裁縫","","","","","","","","","","","16712190","Higher tailoring skill allows you to learn higher level tailoring patterns.  Tailoring patterns can be found on trainers around the world as well as from quests and monsters.","","","","高级的裁缝技能使你可以学习高级的裁缝图样。你可以在训练师那里学习新的图样，也可以通过完成任务或杀死怪物获得新的图样。","高級的裁縫技能使你可以學習高級的裁縫圖樣。你可以在訓練師那裡學習新的圖樣，也可以通過完成任務或殺死怪物獲得新的圖樣。","","","","","","","","","","","16712190","341","Embroider","","","","刺绣","縫製","","","","","","","","","","","16712190","1"
"202","11","0","Engineering","","","","工程学","工程學","","","","","","","","","","","16712190","Higher engineering skill allows you to learn higher level engineering schematics.  Schematics can be found on trainers around the world as well as from quests and monsters.","","","","高级的工程学技能使你可以学习高级的工程学图纸。你可以在训练师那里学习新的图纸，也可以通过完成任务或杀死怪物获得新的图纸。","高級的工程學技能使你可以學習高級的工程學圖紙。你可以在訓練師那裡學習新的圖紙，也可以通過完成任務或殺死怪物獲得新的圖紙。","","","","","","","","","","","16712190","333","Tinker","","","","制造","裝置","","","","","","","","","","","16712190","1"
"203","7","0","Pet - Spider","","","","宠物 - 蜘蛛","寵物 - 蜘蛛","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"204","7","0","Pet - Voidwalker","","","","宠物 - 虚空行者","寵物 - 虛無行者","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"205","7","0","Pet - Succubus","","","","宠物 - 魅魔","寵物 - 魅魔","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"206","7","0","Pet - Infernal","","","","宠物 - 地狱火","寵物 - 煉獄火","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"207","7","0","Pet - Doomguard","","","","宠物 - 末日守卫","寵物 - 末日守衛","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"208","7","0","Pet - Wolf","","","","宠物 - 狼","寵物 - 狼","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"209","7","0","Pet - Cat","","","","宠物 - 豹","寵物 - 豹","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"210","7","0","Pet - Bear","","","","宠物 - 熊","寵物 - 熊","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"211","7","0","Pet - Boar","","","","宠物 - 野猪","寵物 - 野豬","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"212","7","0","Pet - Crocolisk","","","","宠物 - 鳄鱼","寵物 - 鱷魚","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"213","7","0","Pet - Carrion Bird","","","","宠物 - 食腐鸟","寵物 - 食腐鳥","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"214","7","0","Pet - Crab","","","","宠物 - 螃蟹","寵物 - 螃蟹","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"215","7","0","Pet - Gorilla","","","","宠物 - 猩猩","寵物 - 猩猩","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"217","7","0","Pet - Raptor","","","","宠物 - 迅猛龙","寵物 - 迅猛龍","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"218","7","0","Pet - Tallstrider","","","","宠物 - 陆行鸟","寵物 - 陸行鳥","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"220","9","0","Racial - Undead","","","","亡灵种族特长","不死族種族特長","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"226","6","0","Crossbows","","","","弩","弩","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"228","6","0","Wands","","","","魔杖","魔杖","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"229","6","0","Polearms","","","","长柄武器","長柄武器","","","","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","","","","武器技能越高，用该武器击中敌人的几率就越高。","武器技能越高，擊中敵人的機率就越高。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"236","7","0","Pet - Scorpid","","","","宠物 - 蝎子","寵物 - 蠍子","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"237","7","0","Arcane","","","","奥术","秘法","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","125","","","","","","","","","","","","","","","","","16712172","0"
"251","7","0","Pet - Turtle","","","","宠物 - 海龟","寵物 - 海龜","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"253","7","0","Assassination","","","","刺杀","刺殺","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","514","","","","","","","","","","","","","","","","","16712172","0"
"256","7","0","Fury","","","","狂怒","狂怒","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","561","","","","","","","","","","","","","","","","","16712172","0"
"257","7","0","Protection","","","","防护","防護","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","276","","","","","","","","","","","","","","","","","16712172","0"
"267","7","0","Protection","","","","防护","防護","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","291","","","","","","","","","","","","","","","","","16712172","0"
"270","7","0","Pet - Generic Hunter","","","","宠物 - 猎人宠物","寵物 - 一般獵人","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"293","8","0","Plate Mail","","","","板甲","鎧甲","","","","","","","","","","","16712190","Allows the wearing of plate armor.","","","","使你可以穿板甲。","使你可以穿鎧甲。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"313","10","0","Language: Gnomish","","","","语言：侏儒语","語言:地精語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"315","10","0","Language: Troll","","","","语言：巨魔语","語言:食人妖語","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"333","11","0","Enchanting","","","","附魔","附魔","","","","","","","","","","","16712190","Higher enchanting skill allows you to learn more powerful formulae.  Formulae can be found on trainers around the world as well as from quests and monsters.","","","","高级的附魔技能使你可以学习高级的附魔公式。你可以在训练师那里学习新的公式，也可以通过完成任务或杀死怪物获得新的公式。","高級的附魔技能使你可以學習高級的附魔公式。你可以在訓練師那裡學習新的公式，也可以通過完成任務或殺死怪物獲得新的公式。","","","","","","","","","","","16712190","578","Enchant","","","","附魔","附魔","","","","","","","","","","","16712190","1"
"354","7","0","Demonology","","","","恶魔学识","惡魔學識","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","90","","","","","","","","","","","","","","","","","16712172","0"
"355","7","0","Affliction","","","","痛苦","痛苦","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","88","","","","","","","","","","","","","","","","","16712172","0"
"356","9","0","Fishing","","","","钓鱼","釣魚","","","","","","","","","","","16712190","Higher fishing skill increases your chance of catching fish in bodies of water around the world.  If you are having trouble catching fish in a given area, move to a lower level area or purchase a fishing lure and try again.","","","","高级的钓鱼技能使你可以钓到高级的鱼。如果你在某个区域钓不到鱼，请到低等级区域去钓鱼，或者购买鱼饵再来尝试。","高級的釣魚技能使你可以釣到高級的魚。如果你在某個區域釣不到魚，請到低等級區域去釣魚，或者購買魚餌再來嘗試。","","","","","","","","","","","16712190","580","","","","","","","","","","","","","","","","","16712172","0"
"373","7","0","Enhancement","","","","增强","增強","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","19","","","","","","","","","","","","","","","","","16712172","0"
"374","7","0","Restoration","","","","恢复","恢復","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","13","","","","","","","","","","","","","","","","","16712172","0"
"375","7","0","Elemental Combat","","","","元素战斗","元素戰鬥","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","62","","","","","","","","","","","","","","","","","16712172","0"
"393","11","0","Skinning","","","","剥皮","剝皮","","","","","","","","","","","16712190","Higher skinning skill allows you to skin hides from higher level monsters around the world.    Once your skill is above 100, you can divide your skill by 5 to determine the highest level of monster you can skin.","","","","高级的剥皮技能使你可以从高级怪物身上剥取毛皮。如果你的剥皮技能大于100，那么你可剥皮的怪物的最高等级是你的剥皮技能点数除以5。","高級的剝皮技能使你可以從高級怪物身上剝取毛皮。如果你的剝皮技能大於100，那麼你可剝皮的怪物的最高等級是你的剝皮技能點數除以5。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"413","8","0","Mail","","","","锁甲","鎖甲","","","","","","","","","","","16712190","Allows the wearing of mail armor.","","","","使你可以穿锁甲。","使你可以穿鎖甲。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"414","8","0","Leather","","","","皮甲","皮甲","","","","","","","","","","","16712190","Allows the wearing of leather armor.","","","","使你可以穿皮甲。","使你可以穿皮甲。","","","","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
